gene,method,measurement,split1,split2
ENSMUSG00000000001,mle,log2foldchange,-0.185495319420898,-0.053724329408476
ENSMUSG00000000028,mle,log2foldchange,-0.167956751795046,-0.253898411723833
ENSMUSG00000000037,mle,log2foldchange,1.25270011850913,-0.281314917133698
ENSMUSG00000000056,mle,log2foldchange,-0.18537435384988,0.0955921628567206
ENSMUSG00000000058,mle,log2foldchange,-0.432775816795425,0.00916684758763974
ENSMUSG00000000078,mle,log2foldchange,0.0435736918583644,-0.081037074337501
ENSMUSG00000000088,mle,log2foldchange,0.481600530035077,0.40700341984873
ENSMUSG00000000093,mle,log2foldchange,-0.172698608662407,-0.293994170354861
ENSMUSG00000000094,mle,log2foldchange,-3.86715490541235,-4.33798219444384
ENSMUSG00000000120,mle,log2foldchange,-0.14804403651609,-0.323949116382644
ENSMUSG00000000125,mle,log2foldchange,-1.09365595676902,-0.239367092732047
ENSMUSG00000000126,mle,log2foldchange,-0.0677667455459191,0.910723973840359
ENSMUSG00000000127,mle,log2foldchange,-0.0280591275854014,-0.0307179398302374
ENSMUSG00000000131,mle,log2foldchange,0.217268387228406,0.144744238401449
ENSMUSG00000000148,mle,log2foldchange,0.223955052431404,0.350351660704541
ENSMUSG00000000149,mle,log2foldchange,-0.22773681428432,-0.205906815456778
ENSMUSG00000000154,mle,log2foldchange,0.369475073800317,0.585512160271699
ENSMUSG00000000159,mle,log2foldchange,-2.27932295701613,-1.07827973755025
ENSMUSG00000000167,mle,log2foldchange,1.59464220305627,0.331996206971282
ENSMUSG00000000168,mle,log2foldchange,-0.567482396128389,-0.520773850809479
ENSMUSG00000000171,mle,log2foldchange,0.0761078160808492,0.109569869035671
ENSMUSG00000000182,mle,log2foldchange,0.824757448566776,0.2698456297223
ENSMUSG00000000184,mle,log2foldchange,-0.423232059640969,-0.39931634422165
ENSMUSG00000000197,mle,log2foldchange,0.0258815664751042,-0.117686038690131
ENSMUSG00000000202,mle,log2foldchange,-0.0413057940831618,-0.00918913828502268
ENSMUSG00000000204,mle,log2foldchange,0.915004370013398,-1.82317104211395
ENSMUSG00000000215,mle,log2foldchange,-1.90275774294744,0.318053661012429
ENSMUSG00000000216,mle,log2foldchange,0.0851880984641589,-0.365947294610856
ENSMUSG00000000223,mle,log2foldchange,0.232403283157184,0.0073212886935283
ENSMUSG00000000247,mle,log2foldchange,0.033214248042227,-0.144720993380261
ENSMUSG00000000253,mle,log2foldchange,0.154792181987964,0.215613077958624
ENSMUSG00000000263,mle,log2foldchange,-0.0760930460055608,1.68177698939289
ENSMUSG00000000275,mle,log2foldchange,0.0852482674908043,0.219565545786949
ENSMUSG00000000276,mle,log2foldchange,-0.339186901295874,-0.224778580590235
ENSMUSG00000000278,mle,log2foldchange,-0.320724980600745,0.00564980632001553
ENSMUSG00000000282,mle,log2foldchange,-0.0537143073300896,0.395047586615553
ENSMUSG00000000290,mle,log2foldchange,-0.0356437933901608,-0.593973447937938
ENSMUSG00000000296,mle,log2foldchange,-0.354170105732552,-0.380602864153994
ENSMUSG00000000303,mle,log2foldchange,1.24779899651194,1.38952205976462
ENSMUSG00000000317,mle,log2foldchange,-1.02650222846806,0.181622604785441
ENSMUSG00000000320,mle,log2foldchange,0.776346587727252,-0.970840289998597
