"gene","baseMean","lfc_mle","lfcSE_mle","lfc_shrunk","lfcSE_shrunk","pvalue","padj"
"ENSMUSG00000000001",489.175651871368,-0.112194892403608,0.099692488671761,-0.0997854557257845,0.088659102898391,0.260415468356946,0.553612150628429
"ENSMUSG00000000028",1.56775318158049,-0.210806600381429,0.661484150094186,-0.0329010613277482,0.10197034893868,0.749963643069114,0.89731881214606
"ENSMUSG00000000037",1.10104404166011,0.361848583985541,0.782802741436656,0.0426915516018869,0.0908376322287451,0.64390386765428,0.845725555250896
"ENSMUSG00000000049",0.0687061581495951,-0.747012068708001,3.02305956014017,-0.00647027821119737,0.0261843646474909,0.804827236620653,NA
"ENSMUSG00000000056",33.274800155784,-0.0542083852768029,0.151957521965563,-0.0420273998765394,0.11788145000683,0.721291094361255,0.885964810632447
"ENSMUSG00000000058",23.2802556424819,-0.203962551540673,0.179822040985699,-0.145185056801811,0.128013254768837,0.256691091603753,0.550038928504375
"ENSMUSG00000000078",571.763229536195,-0.026781186635546,0.133673944035241,-0.0218829237241339,0.109230715767945,0.841209131036663,0.939634909986009
"ENSMUSG00000000088",538.205690064087,0.447913501415767,0.106857896939965,0.391856942291507,0.0934735951160059,2.76903318059652e-05,0.000729178737557083
"ENSMUSG00000000093",27.586382447973,-0.244151537629891,0.218544072429373,-0.152584062963875,0.1367596609802,0.263920361443776,0.55743882550775
"ENSMUSG00000000094",1.44397174488982,-4.1216727027831,0.818209923634796,-0.440225094469757,0.0959898291190014,4.71831592784525e-07,1.85130989288888e-05
"ENSMUSG00000000120",51.2154994260207,-0.23040561062274,0.471520753950879,-0.0609826217468605,0.124591270242974,0.625094021849078,0.836732970320619
"ENSMUSG00000000125",25.6930852611344,-0.547224010295431,0.2105609931242,-0.351621648013674,0.135360698691978,0.00935268365598768,0.0741849321527163
"ENSMUSG00000000126",138.017404264233,0.387924789057025,0.304340434777628,0.179003689833815,0.140903871017818,0.202436346810163,0.495297908605784
"ENSMUSG00000000127",123.772999808896,-0.0219807037488705,0.0960615060796788,-0.0197021773069742,0.0861117191709366,0.819009550209516,0.928763142149925
"ENSMUSG00000000131",1534.07628595921,0.176114425647649,0.0500636201871176,0.170754055703496,0.0485389790499677,0.000435119795279379,0.00722397053629558
"ENSMUSG00000000148",0.872046571348296,0.333643565952362,0.816890231554451,0.0362519270022398,0.0878481537358716,0.682957033987807,0.867496195863869
"ENSMUSG00000000149",1778.10228668474,-0.210186698736391,0.113837268432604,-0.180853835326781,0.097942619069066,0.0648372491735173,0.265923087115496
"ENSMUSG00000000154",0.726486489504875,0.580912388024552,0.92484762841675,0.0503287330526818,0.0794597018685009,0.529927389256513,0.78052045032517
"ENSMUSG00000000157",0.0481881905474849,0.0923637032335535,3.02305956014017,0.000800012317834681,0.0261843646474909,0.975625981804641,NA
"ENSMUSG00000000159",0.901528217879515,-1.49224020747043,0.952092444305738,-0.124375648275161,0.0781148155116748,0.117038274254675,0.372541245606213
"ENSMUSG00000000167",3.81577594254968,0.90287966661088,0.517992369714513,0.210558889339968,0.120383317185689,0.0813272192495287,0.302732435715215
"ENSMUSG00000000168",16.3632464844572,-0.528454372399307,0.202082319715809,-0.349223133871333,0.133646747969131,0.00892156840769771,0.0717320913435859
"ENSMUSG00000000171",802.830081182424,0.0995133875070907,0.0655543132294247,0.0944327075279115,0.0622052858811446,0.129006938323214,0.393904951752146
"ENSMUSG00000000182",3.19733705536199,0.563214412717536,0.583037782734776,0.106581465703246,0.111631135168948,0.33404425433299,0.625848449115742
"ENSMUSG00000000184",315.737296021844,-0.418823573922105,0.10380593086978,-0.369035690923064,0.0914633652137656,5.46770740823252e-05,0.00128463840124361
"ENSMUSG00000000197",887.469269553317,-0.0490647501652317,0.0711067401977615,-0.0461397702527934,0.0668726946195348,0.490184464125,0.752472786543476
"ENSMUSG00000000202",24.7950497563666,-0.0316056980476893,0.201473133136144,-0.0209585444634341,0.133576681334979,0.875344926596839,0.954437839038395
"ENSMUSG00000000204",0.186936589571514,-0.522351296735724,2.07851565945034,-0.00926375951135737,0.0377027188975378,0.80157462049576,NA
"ENSMUSG00000000215",0.18079457688566,-0.784571230831209,2.04926709117659,-0.0144148395092023,0.038220457951627,0.701827611951992,NA
"ENSMUSG00000000216",1.45097213982737,-0.0816428788242173,0.687969278275241,-0.0119604394617761,0.0992398043331617,0.905535003283955,0.965466952791066
"ENSMUSG00000000223",197.24105701693,0.114029983631788,0.0934412994358266,0.10275333819524,0.0842242835961241,0.222336708656227,0.518693125095119
"ENSMUSG00000000247",48.1829382202562,-0.0634285289335893,0.158127160039349,-0.0482842445159262,0.120426528744906,0.688329157708669,0.870001343862208
"ENSMUSG00000000253",57.6662485732965,0.197707966524503,0.166615809447986,0.146843208366799,0.123600632004687,0.235381534918175,0.53085246076124
"ENSMUSG00000000263",5.31916522684228,0.927501861876649,0.465155791349065,0.249895125729679,0.126652034436064,0.0461564682896599,0.214956887351101
"ENSMUSG00000000275",17.3312376509854,0.15891244975593,0.268126521372705,0.0833257853629692,0.141086641279183,0.553397268234902,0.795569183139657
"ENSMUSG00000000276",825.128036618225,-0.279391893131207,0.0722658710817708,-0.262220907610207,0.0678306381131683,0.000110559452662549,0.00227119601621442
"ENSMUSG00000000278",136.981405722728,-0.159692414640889,0.119217364239642,-0.135604305422691,0.101210000011977,0.180405893501851,0.469320315409523
"ENSMUSG00000000282",11.3473357212878,0.199903407708268,0.25038620778672,0.112121963873967,0.14022376752787,0.424649850312874,0.702803962639535
"ENSMUSG00000000290",5.91827714732181,-0.348657445324823,0.348918505861,-0.137423496270187,0.138179644100968,0.317672727908671,0.610724448406868
"ENSMUSG00000000296",259.142525743306,-0.358505803205643,0.112578230580178,-0.309546947794316,0.0971594760816344,0.00145002406517024,0.0189226532939234
